GBM,XGBoost,RandomForest,LogisticRegression,SVC,NeuralNet,AdaBoost
0.845142171516048,0.8387447118815875,0.8412168102690347,0.8431510462458238,0.8423442526298369,0.8013529308329627,0.8480073232035913
0.8535566151904758,0.8523153942428034,0.8464195947413606,0.8517671883242482,0.8318455921141096,0.79712243610298,0.8480642124970263
0.8556654395707245,0.8550310933632828,0.8468729851708574,0.8408934922318587,0.8318670576735092,0.8025935400678021,0.8547711154094133
0.8560709696140613,0.8587344028520499,0.848464121377938,0.852536997885835,0.84037018612942,0.8216743356962235,0.8580814989843718
0.8468111346018322,0.8470287692243917,0.8378725697467148,0.8424739874808274,0.82894955022178,0.776364879990051,0.8472774945073167
0.8432667993201509,0.8448783318824358,0.8429921651535879,0.8465054097749036,0.8299133606931146,0.7651307880446048,0.840919454462546
0.8466194088629109,0.8459405961115948,0.8337686025784521,0.8485055755917588,0.8346598681756001,0.7921900261161547,0.8519877295527091
0.852065456203623,0.8487750279815944,0.8547237076648841,0.8403494590225096,0.8344422335530406,0.8058699166770302,0.8440129751689259
0.8399452804377565,0.842505078141193,0.8345873233014136,0.842111263109895,0.8347842308170624,0.7784894084483688,0.8459613232185051
0.8380435683787256,0.8421060813331676,0.8405722754217967,0.8415568130000415,0.8296387265265515,0.7987035194627533,0.8449456949798947
