Model,Best_Score,Best_Params
GBM,0.931886117937206,"{'learning_rate': 0.1, 'max_depth': 7, 'min_samples_leaf': 10, 'n_estimators': 200}"
XGBoost,0.9325185006007557,"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 1000, 'subsample': 0.8}"
RandomForest,0.9214941863180917,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 500}"
LogisticRegression,0.856934187491699,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}"
SVC,0.9073602625939484,"{'C': 10, 'kernel': 'rbf'}"
NeuralNet,0.8975458621588656,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 50)}"
AdaBoost,0.9190568865956127,"{'learning_rate': 1.0, 'n_estimators': 500}"
